date,n_stocks,n_days,pc1,pc1_5,lambda_max,mp_upper,n_signif,eff_rank
2001-08-31,100,253,0.2149376811413351,0.4310754862707682,21.49376811413352,2.65264614391991,6,14.76414425085258
2001-09-28,100,249,0.2352673448487275,0.4487477017241766,23.526734484872748,2.6690549267517674,6,13.076001419275917
2001-10-31,100,249,0.2433668783755223,0.4519616510792897,24.33668783755223,2.6690549267517674,6,12.505458431313707
2001-11-30,100,249,0.260188214574627,0.4671196065265064,26.018821457462707,2.6690549267517674,6,11.418081859255826
2001-12-31,100,248,0.2737292323212979,0.4798615946423406,27.372923232129786,2.673227076453518,5,10.602709005581266
2002-01-31,100,249,0.2907076845117653,0.4730922699405749,29.070768451176527,2.6690549267517674,5,10.03628094025996
2002-02-28,100,249,0.3029134536922122,0.4821617022212469,30.291345369221215,2.6690549267517674,5,9.422833041084912
2002-03-29,100,248,0.2906861372990376,0.4696414045177207,29.06861372990375,2.673227076453518,5,10.105425881923416
2002-04-30,100,249,0.2785826091549391,0.4514648750345278,27.8582609154939,2.6690549267517674,5,10.923178882334527
2002-05-31,100,249,0.2908342285958566,0.458051748647942,29.083422859585667,2.6690549267517674,6,10.208519966150224
2002-06-28,100,249,0.2996917539219442,0.4647762311589136,29.96917539219443,2.6690549267517674,6,9.71521404975866
2002-07-31,100,249,0.3472299458817905,0.51089591682463,34.72299458817905,2.6690549267517674,5,7.513126205846128
2002-08-30,100,249,0.3716455535885206,0.5278488292847339,37.16455535885206,2.6690549267517674,4,6.682284405319462
2002-09-30,100,252,0.3857127108896637,0.5292593149092065,38.57127108896638,2.656706973522821,4,6.289701630649237
2002-10-31,100,253,0.4113809164587622,0.5460380036004225,41.13809164587622,2.65264614391991,4,5.605039342171514
2002-11-29,100,253,0.4100836846970608,0.5446086585467919,41.008368469706085,2.65264614391991,4,5.6381419098526395
2002-12-31,100,253,0.4182367491470094,0.551436790443946,41.82367491470096,2.65264614391991,4,5.4335055336862865
2003-01-31,100,253,0.433891979899263,0.5634420938465314,43.38919798992631,2.65264614391991,3,5.0795670691286
2003-02-28,100,253,0.4335653722531585,0.5598982230279504,43.35653722531585,2.65264614391991,3,5.090290072850263
2003-03-31,100,253,0.4446572663460194,0.5679320616037784,44.46572663460192,2.65264614391991,3,4.857882852379359
2003-04-30,100,253,0.4642548286886017,0.5847812549962419,46.425482868860165,2.65264614391991,2,4.47982045834099
2003-05-30,100,253,0.4603833150140609,0.5782473318870424,46.0383315014061,2.65264614391991,2,4.554455175272567
2003-06-30,100,252,0.4637922118991912,0.5838990344223007,46.37922118991913,2.656706973522821,2,4.487026100401344
2003-07-31,100,253,0.4693807794213344,0.5812554832368447,46.93807794213344,2.65264614391991,2,4.401550292756732
2003-08-29,100,253,0.4454461498033683,0.5616479677847862,44.54461498033683,2.65264614391991,2,4.856408061350475
2003-09-30,100,253,0.4367764919338325,0.556730539135095,43.67764919338325,2.65264614391991,3,5.036868562102234
2003-10-31,100,253,0.4215452052690936,0.5367351080030032,42.15452052690937,2.65264614391991,2,5.394801408230896
2003-11-28,100,252,0.4251184970697375,0.5314541548127497,42.51184970697376,2.656706973522821,2,5.327299927890802
2003-12-31,100,253,0.4140412537042359,0.5180958689588945,41.40412537042356,2.65264614391991,2,5.604859556238119
2004-01-30,100,253,0.3915866702959635,0.4959023845182562,39.15866702959638,2.65264614391991,2,6.224153599676569
2004-02-27,100,253,0.3782156485136022,0.4844994298740134,37.82156485136024,2.65264614391991,2,6.6360560013169625
2004-03-31,100,254,0.3440972965215855,0.4561741513915952,34.40972965215853,2.6486123976778924,2,7.883501985190267
2004-04-30,100,254,0.3227270374929276,0.436542648817759,32.272703749292766,2.6486123976778924,2,8.850422874692118
2004-05-31,100,252,0.3151699258227469,0.4352933553217517,31.516992582274693,2.656706973522821,3,9.205917488198423
